invoice_number,invoice_date,customer_id,customer_name,product_name,quantity,unit_price,net_amount
SI-10101,01-JAN-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10101,01-JAN-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,7,8.99,62.93
SI-10101,01-JAN-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,4,44.99,179.96
SI-10101,01-JAN-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,7,11.99,83.93
SI-10101,01-JAN-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10101,01-JAN-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10101,01-JAN-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,8,9.99,79.92
SI-10102,31-JAN-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10102,31-JAN-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,7,8.99,62.93
SI-10102,31-JAN-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,4,44.99,179.96
SI-10102,31-JAN-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,7,11.99,83.93
SI-10102,31-JAN-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10102,31-JAN-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10102,31-JAN-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,8,9.99,79.92
SI-10103,02-MAR-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10103,02-MAR-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,7,8.99,62.93
SI-10103,02-MAR-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,4,44.99,179.96
SI-10103,02-MAR-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,7,11.99,83.93
SI-10103,02-MAR-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10103,02-MAR-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10103,02-MAR-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,7,9.99,69.93
SI-10104,01-APR-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10104,01-APR-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,6,8.99,53.94
SI-10104,01-APR-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,4,44.99,179.96
SI-10104,01-APR-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,6,11.99,71.94
SI-10104,01-APR-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10104,01-APR-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10104,01-APR-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,7,9.99,69.93
SI-10105,01-MAY-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10105,01-MAY-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,6,8.99,53.94
SI-10105,01-MAY-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,4,44.99,179.96
SI-10105,01-MAY-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,6,11.99,71.94
SI-10105,01-MAY-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10105,01-MAY-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10105,01-MAY-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,7,9.99,69.93
SI-10106,31-MAY-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,3,9.29,27.87
SI-10106,31-MAY-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,6,8.99,53.94
SI-10106,31-MAY-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,3,44.99,134.97
SI-10106,31-MAY-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,6,11.99,71.94
SI-10106,31-MAY-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,3,2.29,6.87
SI-10106,31-MAY-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10106,31-MAY-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,6,9.99,59.94
SI-10107,30-JUN-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10107,30-JUN-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,5,8.99,44.95
SI-10107,30-JUN-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,3,44.99,134.97
SI-10107,30-JUN-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,5,11.99,59.95
SI-10107,30-JUN-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10107,30-JUN-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10107,30-JUN-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,6,9.99,59.94
SI-10108,30-JUL-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10108,30-JUL-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,5,8.99,44.95
SI-10108,30-JUL-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,3,44.99,134.97
SI-10108,30-JUL-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,5,11.99,59.95
SI-10108,30-JUL-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10108,30-JUL-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",2,12.99,25.98
SI-10108,30-JUL-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,6,9.99,59.94
SI-10109,29-AUG-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10109,29-AUG-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,5,8.99,44.95
SI-10109,29-AUG-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,3,44.99,134.97
SI-10109,29-AUG-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,5,11.99,59.95
SI-10109,29-AUG-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10109,29-AUG-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",1,12.99,12.99
SI-10109,29-AUG-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,5,9.99,49.95
SI-10110,28-SEP-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10110,28-SEP-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,4,8.99,35.96
SI-10110,28-SEP-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,3,44.99,134.97
SI-10110,28-SEP-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,4,11.99,47.96
SI-10110,28-SEP-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10110,28-SEP-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",1,12.99,12.99
SI-10110,28-SEP-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,5,9.99,49.95
SI-10111,28-OCT-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10111,28-OCT-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,4,8.99,35.96
SI-10111,28-OCT-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,2,44.99,89.98
SI-10111,28-OCT-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,4,11.99,47.96
SI-10111,28-OCT-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10111,28-OCT-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",1,12.99,12.99
SI-10111,28-OCT-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,5,9.99,49.95
SI-10112,27-NOV-2025,C1001,Restaurant_001,Coca Cola Cans 24x330ml,2,9.29,18.58
SI-10112,27-NOV-2025,C1001,Restaurant_001,Pepsi Cans 24x330ml,4,8.99,35.96
SI-10112,27-NOV-2025,C1001,Restaurant_001,Shredded Mozzarella 1.8kg,2,44.99,89.98
SI-10112,27-NOV-2025,C1001,Restaurant_001,Super Crunch Chips 4x2.25kg,4,11.99,47.96
SI-10112,27-NOV-2025,C1001,Restaurant_001,Garlic Mayonnaise 1Ltr,2,2.29,4.58
SI-10112,27-NOV-2025,C1001,Restaurant_001,"12"" Pizza Boxes 90pcs",1,12.99,12.99
SI-10112,27-NOV-2025,C1001,Restaurant_001,Pepperoni Slice 1kg,4,9.99,39.96
SI-10201,01-JAN-2025,C1002,Restaurant_002,Coca Cola Cans 24x330ml,8,9.29,74.32
SI-10201,01-JAN-2025,C1002,Restaurant_002,Pepsi Cans 24x330ml,6,8.99,53.94
SI-10201,01-JAN-2025,C1002,Restaurant_002,Shredded Mozzarella 1.8kg,5,44.99,224.95
SI-10201,01-JAN-2025,C1002,Restaurant_002,Super Crunch Chips 4x2.25kg,13,11.99,155.87
SI-10201,01-JAN-2025,C1002,Restaurant_002,Garlic Mayonnaise 1Ltr,1,2.29,2.29
SI-10201,01-JAN-2025,C1002,Restaurant_002,"12"" Pizza Boxes 90pcs",4,12.99,51.96
SI-10201,01-JAN-2025,C1002,Restaurant_002,Pepperoni Slice 1kg,3,9.99,29.97
SI-10202,31-JAN-2025,C1002,Restaurant_002,Coca Cola Cans 24x330ml,11,9.29,102.19
SI-10202,31-JAN-2025,C1002,Restaurant_002,Pepsi Cans 24x330ml,8,8.99,71.92
SI-10202,31-JAN-2025,C1002,Restaurant_002,Shredded Mozzarella 1.8kg,2,44.99,89.98
SI-10202,31-JAN-2025,C1002,Restaurant_002,Super Crunch Chips 4x2.25kg,12,11.99,143.88
SI-10202,31-JAN-2025,C1002,Restaurant_002,Garlic Mayonnaise 1Ltr,5,2.29,11.45
SI-10202,31-JAN-2025,C1002,Restaurant_002,"12"" Pizza Boxes 90pcs",2,12.99,25.98
