invoice_number,invoice_date,customer_id,customer_name,product_code,product_name,quantity,unit_of_issue,unit_price,vat,total
INV-229206,2024-06-14,C34908,"TASTE PIZZA (WHITBURN)",G0005,"KTC  RAPESEED OIL 20LTR",1,BOX,25.99,0.00,25.99
INV-229206,2024-06-14,C34908,"TASTE PIZZA (WHITBURN)",G2142,"RETAIL GOLD STAR TOMATO SAUCE 12x180g",1,CASE,9.99,0.00,9.99
INV-229206,2024-06-14,C34908,"TASTE PIZZA (WHITBURN)",G2222,"SQ  SRIRACHA SAUCE (Crucials)  1lTR",10,BOTTLE,2.49,0.00,2.49
INV-229206,2024-06-14,C34908,"TASTE PIZZA (WHITBURN)",C0002,"Izzimo 70/30 Mozz Ched (Grated)  6x1.8kg",3,CASE,44.99,0.00,44.99
INV-229206,2024-06-14,C34908,"TASTE PIZZA (WHITBURN)",F3205,"12MM SC DICED CHICKEN BREAST CUBES 2.5KG",4,PACK,12.99,0.00,12.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,8.99,1.80,10.79
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",B01004,"(CANS) IRN BRU 24X330ML",1,CASE,9.49,1.90,11.39
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr COCA COLA BOTTLES",2,CASE,8.99,1.80,10.79
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",B03140,"GB Red Bull Original Energy Drink 24x250ML",1,CASE,19.99,4.00,23.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",G0005,"KTC  RAPESEED OIL 20LTR",1,BOX,25.99,0.00,25.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",G1034,"FRESH YEAST (BLOCK) 1KG",1,EACH,2.99,0.00,2.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N1064,"GP 10X10 WHITE PAPER BAGS 1000PCS",1,PACK,15.99,3.20,19.19
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N1209,"SATCO T1100 ROUND MICRO CLEAR BOWL +LIDS 1",1,CASE,19.99,4.00,23.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N1244,"SATCO M4 40Z CUPS+LIDS 800PCS",1,CASE,19.99,4.00,23.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N2006,"HP2 INFINITY MEDIUM EPP BOXES  (HB9)",1,CASE,18.99,3.80,22.79
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N2008,"TT10  INFINITY LARGE EPP BOXES  220pc",1,CASE,20.99,4.20,25.19
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",3,CASE,9.99,2.00,11.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,4.99,1.00,5.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",4,CASE,44.99,0.00,44.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",C2025,"FRESH MUSHROOM 1.2KG",1,TRAY,3.50,0.00,3.50
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",2,CASE,14.99,0.00,14.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",F3205,"12MM SC DICED CHICKEN BREAST CUBES 2.5KG",2,PACK,13.99,0.00,13.99
INV-230206,2024-06-21,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",4,PACK,9.99,0.00,9.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",B02004,"6x 2ltr  IRN BRU BOTTLES",1,CASE,9.99,2.00,11.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",B03003,"ELAN / Rock  WATER 24X500ML",1,CASE,3.99,80.00,4.79
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,12.99,2.60,15.59
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",2,PACK,4.99,1.00,5.99
